DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P54646,5'-AMP-activated protein kinase catalytic subunit alpha-2
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,Q9Y478,5'-AMP-activated protein kinase subunit beta-1
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,O43741,5'-AMP-activated protein kinase subunit beta-2
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P54619,5'-AMP-activated protein kinase subunit gamma-1
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,Q9UGJ0,5'-AMP-activated protein kinase subunit gamma-2
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,Q9UGI9,5'-AMP-activated protein kinase subunit gamma-3
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P25101,Endothelin-1 receptor
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P04637,Cellular tumor antigen p53
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P11021,78 kDa glucose-regulated protein
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P51812,Ribosomal protein S6 kinase alpha-3
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P25963,NF-kappa-B inhibitor alpha
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,Q00653,Nuclear factor NF-kappa-B p100 subunit
DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P19838,Nuclear factor NF-kappa-B p105 subunit
DB00946,Phenprocoumon,SmallMoleculeDrug,Q9BQB6,Vitamin K epoxide reductase complex subunit 1
DB00947,Fulvestrant,SmallMoleculeDrug,P03372,Estrogen receptor
DB00948,Mezlocillin,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB00948,Mezlocillin,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3
DB00948,Mezlocillin,SmallMoleculeDrug,P0AD65,Penicillin-binding protein 2
DB00949,Felbamate,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
DB00949,Felbamate,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
DB00949,Felbamate,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
DB00950,Fexofenadine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00951,Isoniazid,SmallMoleculeDrug,Q08129,Catalase-peroxidase
DB00951,Isoniazid,SmallMoleculeDrug,P0A5Y6,Enoyl-[acyl-carrier-protein] reductase [NADH]
DB00951,Isoniazid,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00951,Isoniazid,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00951,Isoniazid,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00951,Isoniazid,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00951,Isoniazid,SmallMoleculeDrug,P0A546,Dihydrofolate reductase
DB00952,Naratriptan,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00952,Naratriptan,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00952,Naratriptan,SmallMoleculeDrug,P30939,5-hydroxytryptamine receptor 1F
DB00952,Naratriptan,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00953,Rizatriptan,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00953,Rizatriptan,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00953,Rizatriptan,SmallMoleculeDrug,P30939,5-hydroxytryptamine receptor 1F
DB00955,Netilmicin,SmallMoleculeDrug,P0A7S3,30S ribosomal protein S12
DB00956,Hydrocodone,SmallMoleculeDrug,P35372,Mu-type opioid receptor
DB00956,Hydrocodone,SmallMoleculeDrug,P41143,Delta-type opioid receptor
DB00957,Norgestimate,SmallMoleculeDrug,P06401,Progesterone receptor
DB00957,Norgestimate,SmallMoleculeDrug,P03372,Estrogen receptor
DB00959,Methylprednisolone,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB00960,Pindolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB00960,Pindolol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB00960,Pindolol,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00960,Pindolol,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00961,Mepivacaine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
DB00962,Zaleplon,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00962,Zaleplon,SmallMoleculeDrug,P30536,Translocator protein
DB00963,Bromfenac,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00963,Bromfenac,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00964,Apraclonidine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00964,Apraclonidine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB00964,Apraclonidine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB00966,Telmisartan,SmallMoleculeDrug,P30556,Type-1 angiotensin II receptor
DB00966,Telmisartan,SmallMoleculeDrug,P37231,Peroxisome proliferator-activated receptor gamma
DB00967,Desloratadine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00968,Methyldopa,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00968,Methyldopa,SmallMoleculeDrug,P20711,Aromatic-L-amino-acid decarboxylase
DB00969,Alosetron,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A
DB00970,Dactinomycin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha
DB00970,Dactinomycin,SmallMoleculeDrug,Q02880,DNA topoisomerase 2-beta
DB00972,Azelastine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00973,Ezetimibe,SmallMoleculeDrug,P35610,Sterol O-acyltransferase 1
DB00973,Ezetimibe,SmallMoleculeDrug,Q9UHC9,Niemann-Pick C1-like protein 1
DB00973,Ezetimibe,SmallMoleculeDrug,P15144,Aminopeptidase N
DB00975,Dipyridamole,SmallMoleculeDrug,Q9Y233,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
DB00975,Dipyridamole,SmallMoleculeDrug,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase"
DB00975,Dipyridamole,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
DB00975,Dipyridamole,SmallMoleculeDrug,P00813,Adenosine deaminase
DB00977,Ethinyl Estradiol,SmallMoleculeDrug,P03372,Estrogen receptor
DB00977,Ethinyl Estradiol,SmallMoleculeDrug,O75469,Nuclear receptor subfamily 1 group I member 2
DB00978,Lomefloxacin,SmallMoleculeDrug,P43700,DNA gyrase subunit A
DB00978,Lomefloxacin,SmallMoleculeDrug,P43702,DNA topoisomerase 4 subunit A
DB00978,Lomefloxacin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha
DB00979,Cyclopentolate,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00980,Ramelteon,SmallMoleculeDrug,P49286,Melatonin receptor type 1B
DB00980,Ramelteon,SmallMoleculeDrug,P48039,Melatonin receptor type 1A
DB00981,Physostigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase
DB00982,Isotretinoin,SmallMoleculeDrug,P10276,Retinoic acid receptor alpha
DB00983,Formoterol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB00984,Nandrolone phenpropionate,SmallMoleculeDrug,P10275,Androgen receptor
DB00985,Dimenhydrinate,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00986,Glycopyrrolate,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00986,Glycopyrrolate,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB00986,Glycopyrrolate,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB00987,Cytarabine,SmallMoleculeDrug,P06746,DNA polymerase beta
DB00988,Dopamine,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P35462,D(3) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P21917,D(4) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter
DB00988,Dopamine,SmallMoleculeDrug,P09172,Dopamine beta-hydroxylase
DB00988,Dopamine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00988,Dopamine,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7
DB00988,Dopamine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00988,Dopamine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB00988,Dopamine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter
DB00989,Rivastigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase
DB00989,Rivastigmine,SmallMoleculeDrug,P06276,Cholinesterase
DB00990,Exemestane,SmallMoleculeDrug,P11511,Aromatase
DB00991,Oxaprozin,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00991,Oxaprozin,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00992,Methyl aminolevulinate,SmallMoleculeDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00993,Azathioprine,SmallMoleculeDrug,P00492,Hypoxanthine-guanine phosphoribosyltransferase
DB00994,Neomycin,SmallMoleculeDrug,P0A7S3,30S ribosomal protein S12
DB00995,Auranofin,SmallMoleculeDrug,P30044,"Peroxiredoxin-5, mitochondrial"
DB00995,Auranofin,SmallMoleculeDrug,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00996,Gabapentin,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00996,Gabapentin,SmallMoleculeDrug,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB00996,Gabapentin,SmallMoleculeDrug,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
DB00996,Gabapentin,SmallMoleculeDrug,P30542,Adenosine receptor A1
DB00996,Gabapentin,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1"
DB00996,Gabapentin,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
DB00996,Gabapentin,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
DB00996,Gabapentin,SmallMoleculeDrug,Q14957,"Glutamate receptor ionotropic, NMDA 2C"
DB00996,Gabapentin,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D"
DB00996,Gabapentin,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
DB00996,Gabapentin,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B"
DB00997,Doxorubicin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha
DB00998,Frovatriptan,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00998,Frovatriptan,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,P55017,Solute carrier family 12 member 3
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,Q16790,Carbonic anhydrase 9
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,O43570,Carbonic anhydrase 12
DB00999,Hydrochlorothiazide,SmallMoleculeDrug,Q12791,Calcium-activated potassium channel subunit alpha-1
DB01000,Cyclacillin,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB01000,Cyclacillin,SmallMoleculeDrug,Q8DR59,Penicillin-binding protein 1A
DB01000,Cyclacillin,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3
DB01000,Cyclacillin,SmallMoleculeDrug,C1KC03,Penicillin binding protein 2a
DB01001,Salbutamol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB01001,Salbutamol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB01002,Levobupivacaine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha
DB01003,Cromoglicic acid,SmallMoleculeDrug,Q12791,Calcium-activated potassium channel subunit alpha-1
DB01003,Cromoglicic acid,SmallMoleculeDrug,P25815,Protein S100-P
DB01004,Ganciclovir,SmallMoleculeDrug,P04293,DNA polymerase catalytic subunit
DB01004,Ganciclovir,SmallMoleculeDrug,P03176,Thymidine kinase
DB01005,Hydroxyurea,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit
DB01006,Letrozole,SmallMoleculeDrug,P11511,Aromatase
DB01007,Tioconazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB01007,Tioconazole,SmallMoleculeDrug,Q16850,Lanosterol 14-alpha demethylase
DB01009,Ketoprofen,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB01009,Ketoprofen,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB01009,Ketoprofen,SmallMoleculeDrug,P25024,C-X-C chemokine receptor type 1
DB01010,Edrophonium,SmallMoleculeDrug,P22303,Acetylcholinesterase
DB01010,Edrophonium,SmallMoleculeDrug,P06276,Cholinesterase
DB01011,Metyrapone,SmallMoleculeDrug,P15538,"Cytochrome P450 11B1, mitochondrial"
DB01011,Metyrapone,SmallMoleculeDrug,P00183,Camphor 5-monooxygenase
DB01012,Cinacalcet,SmallMoleculeDrug,P41180,Extracellular calcium-sensing receptor
DB01013,Clobetasol propionate,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB01014,Balsalazide,SmallMoleculeDrug,P37231,Peroxisome proliferator-activated receptor gamma
DB01014,Balsalazide,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB01014,Balsalazide,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB01014,Balsalazide,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB01015,Sulfamethoxazole,SmallMoleculeDrug,P0AC13,Dihydropteroate synthase
DB01015,Sulfamethoxazole,SmallMoleculeDrug,P08192,Bifunctional protein FolC
DB01016,Glyburide,SmallMoleculeDrug,Q09428,ATP-binding cassette sub-family C member 8
DB01016,Glyburide,SmallMoleculeDrug,P48048,ATP-sensitive inward rectifier potassium channel 1
DB01016,Glyburide,SmallMoleculeDrug,P48544,G protein-activated inward rectifier potassium channel 4
DB01016,Glyburide,SmallMoleculeDrug,O60706,ATP-binding cassette sub-family C member 9
DB01016,Glyburide,SmallMoleculeDrug,O95342,Bile salt export pump
DB01016,Glyburide,SmallMoleculeDrug,O95477,ATP-binding cassette sub-family A member 1
DB01016,Glyburide,SmallMoleculeDrug,P13569,Cystic fibrosis transmembrane conductance regulator
DB01016,Glyburide,SmallMoleculeDrug,Q14654,ATP-sensitive inward rectifier potassium channel 11
DB01016,Glyburide,SmallMoleculeDrug,Q14654,ATP-sensitive inward rectifier potassium channel 11
DB01016,Glyburide,SmallMoleculeDrug,Q15842,ATP-sensitive inward rectifier potassium channel 8
DB01016,Glyburide,SmallMoleculeDrug,P50416,"Carnitine O-palmitoyltransferase 1, liver isoform"
DB01017,Minocycline,SmallMoleculeDrug,P0A7X3,30S ribosomal protein S9
DB01017,Minocycline,SmallMoleculeDrug,P0A7V8,30S ribosomal protein S4
DB01017,Minocycline,SmallMoleculeDrug,P01584,Interleukin-1 beta
DB01017,Minocycline,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB01017,Minocycline,SmallMoleculeDrug,P14780,Matrix metalloproteinase-9
DB01017,Minocycline,SmallMoleculeDrug,P15692,Vascular endothelial growth factor A
DB01017,Minocycline,SmallMoleculeDrug,P29466,Caspase-1
DB01017,Minocycline,SmallMoleculeDrug,P42574,Caspase-3
DB01017,Minocycline,SmallMoleculeDrug,P99999,Cytochrome c
DB01018,Guanfacine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB01018,Guanfacine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB01019,Bethanechol,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB01020,Isosorbide Mononitrate,SmallMoleculeDrug,P33402,Guanylate cyclase soluble subunit alpha-2
DB01021,Trichlormethiazide,SmallMoleculeDrug,Q13621,Solute carrier family 12 member 1
DB01021,Trichlormethiazide,SmallMoleculeDrug,P05023,Sodium/potassium-transporting ATPase subunit alpha-1
DB01021,Trichlormethiazide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1
DB01021,Trichlormethiazide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2
DB01021,Trichlormethiazide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4
DB01022,Phylloquinone,SmallMoleculeDrug,P38435,Vitamin K-dependent gamma-carboxylase
DB01022,Phylloquinone,SmallMoleculeDrug,P02818,Osteocalcin
DB01023,Felodipine,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
DB01023,Felodipine,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB01023,Felodipine,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2
DB01023,Felodipine,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
DB01023,Felodipine,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
DB01023,Felodipine,SmallMoleculeDrug,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
DB01023,Felodipine,SmallMoleculeDrug,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB01023,Felodipine,SmallMoleculeDrug,P62158,Calmodulin
DB01023,Felodipine,SmallMoleculeDrug,Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
DB01023,Felodipine,SmallMoleculeDrug,P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
DB01023,Felodipine,SmallMoleculeDrug,P08235,Mineralocorticoid receptor
DB01023,Felodipine,SmallMoleculeDrug,P02585,"Troponin C, skeletal muscle"
DB01023,Felodipine,SmallMoleculeDrug,P63316,"Troponin C, slow skeletal and cardiac muscles"
DB01024,Mycophenolic acid,SmallMoleculeDrug,P12268,Inosine-5'-monophosphate dehydrogenase 2
DB01024,Mycophenolic acid,SmallMoleculeDrug,P20839,Inosine-5'-monophosphate dehydrogenase 1
DB01025,Amlexanox,SmallMoleculeDrug,P80511,Protein S100-A12
DB01025,Amlexanox,SmallMoleculeDrug,Q99584,Protein S100-A13
DB01025,Amlexanox,SmallMoleculeDrug,P08700,Interleukin-3
DB01025,Amlexanox,SmallMoleculeDrug,P05230,Fibroblast growth factor 1
DB01026,Ketoconazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB01026,Ketoconazole,SmallMoleculeDrug,P10275,Androgen receptor
DB01026,Ketoconazole,SmallMoleculeDrug,P08686,Steroid 21-hydroxylase
DB01026,Ketoconazole,SmallMoleculeDrug,P11511,Aromatase
DB01028,Methoxyflurane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01028,Methoxyflurane,SmallMoleculeDrug,P42261,Glutamate receptor 1
DB01028,Methoxyflurane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1
DB01028,Methoxyflurane,SmallMoleculeDrug,P98194,Calcium-transporting ATPase type 2C member 1
DB01028,Methoxyflurane,SmallMoleculeDrug,Q09470,Potassium voltage-gated channel subfamily A member 1
DB01028,Methoxyflurane,SmallMoleculeDrug,P30049,"ATP synthase subunit delta, mitochondrial"
DB01028,Methoxyflurane,SmallMoleculeDrug,P03886,NADH-ubiquinone oxidoreductase chain 1
DB01028,Methoxyflurane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01028,Methoxyflurane,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01028,Methoxyflurane,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01028,Methoxyflurane,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB01028,Methoxyflurane,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01028,Methoxyflurane,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB01028,Methoxyflurane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01028,Methoxyflurane,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01028,Methoxyflurane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01028,Methoxyflurane,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01028,Methoxyflurane,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01028,Methoxyflurane,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01028,Methoxyflurane,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01028,Methoxyflurane,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01028,Methoxyflurane,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01028,Methoxyflurane,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB01029,Irbesartan,SmallMoleculeDrug,P30556,Type-1 angiotensin II receptor
DB01029,Irbesartan,SmallMoleculeDrug,P05412,Transcription factor AP-1
DB01030,Topotecan,SmallMoleculeDrug,P11387,DNA topoisomerase 1
DB01030,Topotecan,SmallMoleculeDrug,Q969P6,"DNA topoisomerase I, mitochondrial"
DB01031,Ethinamate,SmallMoleculeDrug,P00918,Carbonic anhydrase 2
DB01031,Ethinamate,SmallMoleculeDrug,P00915,Carbonic anhydrase 1
DB01032,Probenecid,SmallMoleculeDrug,Q4U2R8,Solute carrier family 22 member 6
DB01032,Probenecid,SmallMoleculeDrug,Q9NSA0,Solute carrier family 22 member 11
DB01032,Probenecid,SmallMoleculeDrug,Q8TCC7,Solute carrier family 22 member 8
DB01032,Probenecid,SmallMoleculeDrug,Q96RD7,Pannexin-1
DB01033,Mercaptopurine,SmallMoleculeDrug,P00492,Hypoxanthine-guanine phosphoribosyltransferase
DB01033,Mercaptopurine,SmallMoleculeDrug,Q06203,Amidophosphoribosyltransferase
DB01033,Mercaptopurine,SmallMoleculeDrug,P20839,Inosine-5'-monophosphate dehydrogenase 1
DB01033,Mercaptopurine,SmallMoleculeDrug,P12268,Inosine-5'-monophosphate dehydrogenase 2
DB01034,Cerulenin,SmallMoleculeDrug,P0A953,3-oxoacyl-[acyl-carrier-protein] synthase 1
DB01034,Cerulenin,SmallMoleculeDrug,P0AAI5,3-oxoacyl-[acyl-carrier-protein] synthase 2
DB01034,Cerulenin,SmallMoleculeDrug,P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3
DB01034,Cerulenin,SmallMoleculeDrug,P49327,Fatty acid synthase
DB01035,Procainamide,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha
DB01035,Procainamide,SmallMoleculeDrug,P26358,DNA (cytosine-5)-methyltransferase 1
DB01036,Tolterodine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB01036,Tolterodine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB01036,Tolterodine,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5
DB01036,Tolterodine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB01036,Tolterodine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4
DB01037,Selegiline,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B
DB01037,Selegiline,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB01039,Fenofibrate,SmallMoleculeDrug,Q07869,Peroxisome proliferator-activated receptor alpha
DB01039,Fenofibrate,SmallMoleculeDrug,O43923,Matrix metalloproteinase-25
DB01041,Thalidomide,SmallMoleculeDrug,Q96SW2,Protein cereblon
DB01041,Thalidomide,SmallMoleculeDrug,P01375,Tumor necrosis factor
DB01041,Thalidomide,SmallMoleculeDrug,P19838,Nuclear factor NF-kappa-B p105 subunit
DB01041,Thalidomide,SmallMoleculeDrug,P21802,Fibroblast growth factor receptor 2
DB01041,Thalidomide,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB01041,Thalidomide,SmallMoleculeDrug,P02763,Alpha-1-acid glycoprotein 1
DB01041,Thalidomide,SmallMoleculeDrug,P19652,Alpha-1-acid glycoprotein 2
DB01043,Memantine,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A"
DB01043,Memantine,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A"
DB01043,Memantine,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B"
DB01043,Memantine,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A
DB01043,Memantine,SmallMoleculeDrug,Q693P7,Alpha-7 nicotinic cholinergic receptor subunit
DB01043,Memantine,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01043,Memantine,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1"
DB01044,Gatifloxacin,SmallMoleculeDrug,P72524,DNA gyrase subunit A
DB01044,Gatifloxacin,SmallMoleculeDrug,P0A4L9,DNA gyrase subunit B
DB01044,Gatifloxacin,SmallMoleculeDrug,P72525,DNA topoisomerase 4 subunit A
DB01044,Gatifloxacin,SmallMoleculeDrug,Q59961,DNA topoisomerase 4 subunit B
DB01045,Rifampicin,SmallMoleculeDrug,P0A8V2,DNA-directed RNA polymerase subunit beta
DB01045,Rifampicin,SmallMoleculeDrug,P0A8T7,DNA-directed RNA polymerase subunit beta'
DB01045,Rifampicin,SmallMoleculeDrug,O75469,Nuclear receptor subfamily 1 group I member 2
DB01045,Rifampicin,SmallMoleculeDrug,Q9Y6L6,Solute carrier organic anion transporter family member 1B1
DB01045,Rifampicin,SmallMoleculeDrug,P46721,Solute carrier organic anion transporter family member 1A2
DB01045,Rifampicin,SmallMoleculeDrug,Q9NPD5,Solute carrier organic anion transporter family member 1B3
DB01045,Rifampicin,SmallMoleculeDrug,Q16850,Lanosterol 14-alpha demethylase
DB01045,Rifampicin,SmallMoleculeDrug,P02768,Serum albumin
DB01045,Rifampicin,SmallMoleculeDrug,O94956,Solute carrier organic anion transporter family member 2B1
DB01046,Lubiprostone,SmallMoleculeDrug,P51788,Chloride channel protein 2
DB01047,Fluocinonide,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB01047,Fluocinonide,SmallMoleculeDrug,Q99835,Smoothened homolog
