DrugBankID;Drug;Disease;Palliative;InFDAlabel;RelativeEfficacyRE;GeneID1;GeneID2;GeneID3;GeneID4;GeneID5;GeneID6;GeneID7;GeneID8;GeneID9;GeneID10;GeneID11;GeneID12;GeneID13;GeneID14;GeneID15;GeneID16;GeneID17;GeneID18;GeneID19;GeneID20;GeneID21;GeneID22;GeneID23;GeneID24;GeneID25;IndicationfromDailyMed
DB00570;Vinblastine;breast neoplasms;0;1;NA;7283;3725;7846;203068; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Vinblastine Sulfate Injection is indicated in the palliative treatment of the following: I. Frequently Responsive Malignancies Generalized Hodgkins disease (Stages III and IV, Ann Arbor modification of Rye staging system) Lymphocytic lymphoma (nodular and diffuse, poorly and well differentiated) Histiocytic lymphoma Mycosis fungoides (advanced stages) Advanced carcinoma of the testis Kaposis sarcoma Letterer-Siwe disease (histiocytosis X) II. Less Frequently Responsive Malignancies Choriocarcinoma resistant to other chemotherapeutic agents Carcinoma of the breast, unresponsive to appropriate endocrine surgery and hormonal therapy Current principles of chemotherapy for many types of cancer include the concurrent administration of several antineoplastic agents. For enhanced therapeutic effect without additive toxicity, agents with different dose-limiting clinical toxicities and different mechanisms of action are generally selected. Therefore, although vinblastine sulfate is effective as a single agent in the aforementioned indications, it is usually administered in combination with other antineoplastic drugs. Such combination therapy produces a greater percentage of response than does a single-agent regimen. These principles have been applied, for example, in the chemotherapy of Hodgkins disease. Vinblastine sulfate has been shown to be one of the most effective single agents for the treatment of Hodgkins disease. Advanced Hodgkins disease has also been successfully treated with several multiple-drug regimens that included vinblastine sulfate. Patients who had relapses after treatment with the MOPP program mechlorethamine hydrochloride (nitrogen mustard), vincristine sulfate, prednisone and procarbazinehave likewise responded to combination-drug therapy that included vinblastine sulfate. A protocol using cyclophosphamide in place of nitrogen mustard and vinblastine sulfate instead of vincristine sulfate is an alternative therapy for previously untreated patients with advanced Hodgkins disease. Advanced testicular germinal-cell cancers (embryonal carcinoma, teratocarcinoma and choriocarcinoma) are sensitive to vinblastine sulfate alone, but better clinical results are achieved when vinblastine sulfate is administered concomitantly with other antineoplastic agents. The effect of bleomycin is significantly enhanced if vinblastine sulfate is administered six to eight hours prior to the administration of bleomycin"
DB00571;Propranolol;arrhythmias cardiac;0;1;NA;155;153;3351;154;3350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Propranolol hydrochloride tablets are indicated in the management of hypertension. They may be used alone or used in combination with other antihypertensive agents, particularly a thiazide diuretic. Propranolol hydrochloride tablets are not indicated in the management of hypertensive emergencies. Propranolol hydrochloride tablets are indicated to decrease angina frequency and increase exercise tolerance in patients with angina pectoris. Propranolol hydrochloride tablets are indicated to control ventricular rate in patients with atrial fibrillation and a rapid ventricular response. Propranolol hydrochloride tablets are indicated to reduce cardiovascular mortality in patients who have survived the acute phase of myocardial infarction and are clinically stable. Propranolol hydrochloride tablets are indicated for the prophylaxis of common migraine headache. The efficacy of propranolol in the treatment of a migraine attack that has started has not been established, and propranolol is not indicated for such use. Propranolol hydrochloride tablets are indicated in the management of familial or hereditary essential tremor. Familial or essential tremor consists of involuntary, rhythmic, oscillatory movements, usually limited to the upper limbs. It is absent at rest, but occurs when the limb is held in a fixed posture or position against gravity and during active movement. Propranolol hydrochloride tablets, USP causes a reduction in the tremor amplitude but not in the tremor frequency. Propranolol hydrochloride tablets are not indicated for the treatment of tremor associated with Parkinsonism. Propranolol hydrochloride tablets improve NYHA functional class in symptomatic patients with hypertrophic subaortic stenosis. Propranolol hydrochloride tablets are indicated as an adjunct to alpha-adrenergic blockade to control blood pressure and reduce symptoms of catecholamine-secreting tumors.
DB00572;Atropine;asthma;0;0;NA;1133;1129;1128;1131;1132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;For mydriasis and/or cycloplegia. For cycloplegic refraction, for pupillary dilation desired in inflammatory conditions of the iris and uveal tract.
DB00584;Enalapril;kidney diseases;0;0;NA;1636; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Enalapril maleate is indicated for the treatment of hypertension. Enalapril maleate is effective alone or in combination with other antihypertensive agents, especially thiazide-type diuretics. The blood pressure lowering effects of enalapril maleate and thiazides are approximately additive. Enalapril maleate is indicated for the treatment of symptomatic congestive heart failure, usually in combination with diuretics and digitalis. In these patients enalapril maleate improves symptoms, increases survival, and decreases the frequency of hospitalization (see CLINICAL PHARMACOLOGY, for details and limitations of survival trials). In clinically stable asymptomatic patients with left ventricular dysfunction (ejection fraction 35 percent), enalapril maleate decreases the rate of development of overt heart failure and decreases the incidence of hospitalization for heart failure. (See CLINICAL PHARMACOLOGY, for details and limitations of survival trials.) In using enalapril maleate, consideration should be given to the fact that another angiotensin converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen vascular disease, and that available data are insufficient to show that enalapril maleate does not have a similar risk. (See WARNINGS.) In considering use of enalapril maleate, it should be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. In addition, it should be noted that black patients receiving ACE inhibitors have been reported to have a higher incidence of angioedema compared to non-blacks. (See WARNINGS, .)
DB00586;Diclofenac;arthritis;1;1;0,247706;3786;3785;41;5742;5743;240;5320;6329; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carefully consider the potential benefits and risks of diclofenac sodium delayed-release tablets and other treatment options before deciding to use diclofenac. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS). Diclofenac is indicated: For relief of the signs and symptoms of osteoarthritis For relief of the signs and symptoms of rheumatoid arthritis For acute or long-term use in the relief of signs and symptoms of ankylosing spondylitis
DB00588;Fluticasone Propionate;asthma;0;0;0;2908;5241;4306;5321; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Fluticasone Propionate Nasal Spray, USP, is indicated for the management of the nasal symptoms of seasonal and perennial allergic and nonallergic rhinitis in adults and pediatric patients 4 years of age and older. Safety and effectiveness of Fluticasone Propionate Nasal Spray, USP, in children below 4 years of age have not been adequately established.
DB00600;Monobenzone;hypopigmentation;0;1;NA;7299; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Benoquin Cream 20% is indicated for final depigmentation in extensive Vitiligo. Benoquin Cream 20% is applied topically to permanently depigment normal skin surrounding vitiliginous lesions in patients with disseminated (greater than 50 percent of body surface area) idiopathic vitiligo. Benoquin Cream 20% is not recommended in freckling"
DB00603;Medroxyprogesterone;breast neoplasms;0;0;0,909091;2099;5241; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Medroxyprogesterone Acetate Tablets USP are a progestin indicated for the treatment of secondary amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as fibroids or uterine cancer. Medroxyprogesterone Acetate Tablets USP are also indicated to reduce the incidence of endometrial hyperplasia in nonhysterectomized postmenopausal women receiving daily oral conjugated estrogens 0.625 mg tablets.
DB00605;Sulindac;arthritis;1;1;0;5742;5743;5595;231;5467; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carefully consider the potential benefits and risks of sulindac and other treatment options before deciding to use sulindac. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS). Sulindac tablets are indicated for acute long-term use in the relief of signs and symptoms of the following: Osteoarthritis Rheumatoid arthritis* Ankylosing spondylitis Acute painful shoulder (Acute subacromial bursitis/supraspinatus tendinitis) Acute gouty arthritis
DB00608;Chloroquine;arthritis rheumatoid;0;0;NA;7124;54106;2939; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Chloroquine phosphate tablets are indicated for the suppressive treatment and for acute attacks of malaria due to P. vivax, P.malariae, P. ovale, and susceptible strains of P. falciparum. The drug is also indicated for the treatment of extraintestinal amebiasis. Chloroquine phosphate tablets does not prevent relapses in patients with vivax or malariae malaria because it is not effective against exoerythrocytic forms of the parasite, nor will it prevent vivax or malariae infection when administered as a prophylactic. It is highly effective as a suppressive agent in patients with vivax or malariae malaria, in terminating acute attacks, and significantly lengthening the interval between treatment and relapse. In patients with falciparum malaria it abolishes the acute attack and effects complete cure of the infection, unless due to a resistant strain of P. falciparum.
DB00615;Rifabutin;mycobacterium infections;0;1;NA;3320;7184; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Rifabutin Capsules are indicated for the prevention of disseminated Mycobacterium avium complex (MAC) disease in patients with advanced HIV infection.
DB00619;Imatinib;gastrointestinal neoplasms;0;1;NA;1436;25;780;3815;4914;5156;5159; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Gleevec is a kinase inhibitor indicated for the treatment of: Newly diagnosed adult and pediatric patients with Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) in chronic phase (1.1) Patients with Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) in blast crisis (BC), accelerated phase (AP), or in chronic phase (CP) after failure of interferon-alpha therapy (1.2) Adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) (1.3) Pediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy (1.4) Adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements (1.5) Adult patients with aggressive systemic mastocytosis (ASM) without the D816V c-Kit mutation or with c-Kit mutational status unknown (1.6) Adult patients with hypereosinophilic syndrome (HES) and/or chronic eosinophilic leukemia (CEL) who have the FIP1L1-PDGFR fusion kinase (mutational analysis or FISH demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFR fusion kinase negative or unknown (1.7) Adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans (DFSP) (1.8) Patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST) (1.9) Adjuvant treatment of adult patients following resection of Kit (CD117) positive GIST (1.10)
DB00620;Triamcinolone;arthritis;0;1;0,565217;2908; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""MARCAINE is indicated for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diagnostic and therapeutic procedures, and for obstetrical procedures. Only the 0.25% and 0.5% concentrations are indicated for obstetrical anesthesia. (See WARNINGS.) Experience with nonobstetrical surgical procedures in pregnant patients is not sufficient to recommend use of 0.75% concentration of MARCAINE in these patients. MARCAINE is not recommended for intravenous regional anesthesia (Bier Block). See WARNINGS. The routes of administration and indicated MARCAINE concentrations are:  local infiltration 0.25%  peripheral nerve block 0.25% and 0.5%  retrobulbar block 0.75%  sympathetic block 0.25%  lumbar epidural 0.25%, 0.5%, and 0.75% (0.75% not for obstetrical anesthesia)  caudal 0.25% and 0.5%  epidural test dose 0.5% with epinephrine 1:200,000  dental blocks 0.5% with epinephrine 1:200,000 (See DOSAGE AND ADMINISTRATION for additional information.) Standard textbooks should be consulted to determine the accepted procedures and techniques for the administration of MARCAINE. Where oral therapy is not feasible, injectable corticosteroid therapy, including Kenalog-40 Injection (triamcinolone acetonide injectable suspension, USP) is indicated for intramuscular use as follows: Allergic states: Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, serum sickness, transfusion reactions. Dermatologic diseases: Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome). Endocrine disorders: Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice"
DB00627;Niacin;arteriosclerosis;0;1;0,977273;23475;4837; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;NIASPAN contains extended-release niacin (nicotinic acid), and is indicated: To reduce elevated TC, LDL-C, Apo B and TG, and to increase HDL-C in patients with primary hyperlipidemia and mixed dyslipidemia. (1) In combination with simvastatin or lovastatin: to treat primary hyperlipidemia and mixed dyslipidemia when treatment with NIASPAN, simvastatin, or lovastatin monotherapy is considered inadequate. (1) To reduce the risk of recurrent nonfatal myocardial infarction in patients with a history of myocardial infarction and hyperlipidemia. (1) In combination with a bile acid binding resin: Slows progression or promotes regression of atherosclerotic disease in patients with a history of coronary artery disease (CAD) and hyperlipidemia. (1) As an adjunct to diet to reduce elevated TC and LDL-C in adult patients with primary hyperlipidemia. (1) Slows progression or promotes regression of atherosclerotic disease in patients with a history of coronary artery disease (CAD) and hyperlipidemia. (1) As an adjunct to diet to reduce elevated TC and LDL-C in adult patients with primary hyperlipidemia. (1) To reduce TG in adult patients with severe hypertriglyceridemia. (1) Limitations of use: No incremental benefit of NIASPAN coadministered with simvastatin or lovastatin on cardiovascular morbidity and mortality over and above that demonstrated for niacin, simvastatin and lovastatin monotherapy, has been established. NIASPAN, at doses of 1,500-2,000 mg/day, in combination with simvastatin, did not reduce the incidence of cardiovascular events more than simvastatin in a randomized controlled trial of patients with cardiovascular disease and mean baseline LDL-C levels of 74 mg per deciliter . (5.1)
DB00635;Prednisone;arthritis;0;1;0,073346;2908;3290; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""PredniSONE Tablets are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice"
DB00641;Simvastatin;cardiovascular diseases;0;1;NA;3689;3156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol (see National Cholesterol Education Program [NCEP] Treatment Guidelines, below). In patients with CHD or at high risk of CHD, simvastatin can be started simultaneously with diet. In patients at high risk of coronary events because of existing coronary heart disease, diabetes, peripheral vessel disease, history of stroke or other cerebrovascular disease, simvastatin is indicated to: Reduce the risk of total mortality by reducing CHD deaths. Reduce the risk of non-fatal myocardial infarction and stroke. Reduce the need for coronary and non-coronary revascularization procedures. Simvastatin tablets are indicated to: Reduce elevated total-C, LDL-C, Apo B, and TG, and to increase HDL-C in patients with primary hypercholesterolemia (heterozygous familial and nonfamilial) and mixed dyslipidemia (Fredrickson types IIa and IIb). Treat patients with hypertriglyceridemia (Fredrickson type lV hyperlipidemia). Treat patients with primary dysbetalipoproteinemia (Fredrickson type lll hyperlipidemia). Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable. Simvastatin tablets are indicated as an adjunct to diet to reduce total-C, LDL-C, and Apo B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heterozygous familial hypercholesterolemia, if after an adequate trial of diet therapy the following findings are present: LDL cholesterol remains  190 mg/dL"
DB00651;Dyphylline;asthma;0;1;1;27115;5150;5144;5142;5143;5141;135;134; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.
DB00661;Verapamil;arrhythmias cardiac;0;1;0,5;784;774;776;775;782;773;3767;785;779;778;3757;8913;8911;6532;6331;783; ; ; ; ; ; ; ; ; ;Verapamil hydrochloride extended-release tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including this drug. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Programs Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.
DB00667;Histamine Phosphate;hypersensitivity;0;0;NA;3269;59340;3274;11255; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;For temporary relief of minor aches and pains of muscles and joints associated with arthritis, backache and sprains
DB00672;Chlorpropamide;diabetes mellitus;0;1;NA;6833; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Chlorpropamide tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
DB00674;Galantamine;alzheimer disease;0;1;NA;590;1140;1138;1146;1144;1143;1145;1137;43;1135;1136;1141;1139;1134; ; ; ; ; ; ; ; ; ; ; ;Galantamine hydrobromide tablet is a cholinesterase inhibitor indicated for the treatment of mild to moderate dementia of the Alzheimers type (1)
DB00675;Tamoxifen;breast neoplasms;0;1;0,738739;2100;2099; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""NOLVADEX is effective in the treatment of metastatic breast cancer in women and men. In premenopausal women with metastatic breast cancer, NOLVADEX is an alternative to oophorectomy or ovarian irradiation. Available evidence indicates that patients whose tumors are estrogen receptor positive are more likely to benefit from NOLVADEX therapy. NOLVADEX is indicated for the treatment of node-positive breast cancer in postmenopausal women following total mastectomy or segmental mastectomy, axillary dissection, and breast irradiation. In some NOLVADEX adjuvant studies, most of the benefit to date has been in the subgroup with four or more positive axillary nodes. NOLVADEX is indicated for the treatment of axillary node-negative breast cancer in women following total mastectomy or segmental mastectomy, axillary dissection, and breast irradiation. The estrogen and progesterone receptor values may help to predict whether adjuvant NOLVADEX therapy is likely to be beneficial. NOLVADEX reduces the occurrence of contralateral breast cancer in patients receiving adjuvant NOLVADEX therapy for breast cancer. In women with DCIS, following breast surgery and radiation, NOLVADEX is indicated to reduce the risk of invasive breast cancer (see BOXED WARNING at the beginning of the label). The decision regarding therapy with NOLVADEX for the reduction in breast cancer incidence should be based upon an individual assessment of the benefits and risks of NOLVADEX therapy. Current data from clinical trials support five years of adjuvant NOLVADEX therapy for patients with breast cancer. NOLVADEX is indicated to reduce the incidence of breast cancer in women at high risk for breast cancer. This effect was shown in a study of 5 years planned duration with a median follow-up of 4.2 years. Twenty-five percent of the participants received drug for 5 years. The longer-term effects are not known. In this study, there was no impact of tamoxifen on overall or breast cancer-related mortality (see BOXED WARNING at the beginning of the label). NOLVADEX is indicated only for high-risk women. High risk is defined as women at least 35 years of age with a 5-year predicted risk of breast cancer  1.67%, as calculated by the Gail Model. Examples of combinations of factors predicting a 5-year risk  1.67% are: One first degree relative with a history of breast cancer, 2 or more benign biopsies, and a history of a breast biopsy showing atypical hyperplasia"
DB00678;Losartan;diabetes mellitus type 2;0;0;0,779221;185; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;HYZAAR is indicated for the treatment of hypertension. This fixed dose combination is not indicated for initial therapy of hypertension, except when the hypertension is severe enough that the value of achieving prompt blood pressure control exceeds the risk of initiating combination therapy in these patients (see CLINICAL PHARMACOLOGY, Pharmacodynamics and Clinical Effects, and DOSAGE AND ADMINISTRATION). HYZAAR is indicated to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy, but there is evidence that this benefit does not apply to Black patients. (See PRECAUTIONS, Race, CLINICAL PHARMACOLOGY, Pharmacodynamics and Clinical Effects, Losartan Potassium, Reduction in the Risk of Stroke, Race, and DOSAGE AND ADMINISTRATION.)
DB00680;Moricizine;arrhythmias cardiac;0;0;NA;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00694;Daunorubicin;leukemia;0;0;NA;7155;7153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;DaunoXome is indicated as a first line cytotoxic therapy for advanced HIV-associated Kaposi's sarcoma. DaunoXome is not recommended in patients with less than advanced HIV-related Kaposi's sarcoma.
DB00695;Furosemide;kidney diseases;0;1;NA;760;6557; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Furosemide tablets USP are indicated in adults and pediatric patients for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Furosemide USP is particularly useful when an agent with greater diuretic potential is desired. Oral furosemide may be used in adults for the treatment of hypertension alone or in combination with other antihypertensive agents. Hypertensive patients who cannot be adequately controlled with thiazides will probably also not be adequately controlled with furosemide alone.
DB00697;Tizanidine;multiple sclerosis;0;0;0,794393;151;150;11188;152; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Tizanidine is a short-acting drug for the management of spasticity. Because of the short duration of effect, treatment with tizanidine should be reserved for those daily activities and times when relief of spasticity is most important (see DOSAGE AND ADMINISTRATION).
DB00714;Apomorphine;parkinson disease;0;1;NA;151;150;1816;152;1812;1813;50632;3357;1814;3351;3350;3352;3358;3356;1815; ; ; ; ; ; ; ; ; ; ;"""APOKYN is a non-ergoline dopamine agonist indicated for the acute, intermittent treatment of hypomobility, """"off"""" episodes (""""end-of-dose wearing off"""" and unpredictable """"on/off"""" episodes) associated with advanced Parkinson's disease (1)"""
DB00716;Nedocromil;asthma;0;0;NA;3320;5729;10800;2357; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ALOCRIL ophthalmic solution is indicated for the treatment of itching associated with allergic conjunctivitis.
DB00731;Nateglinide;diabetes mellitus;0;1;0,840678;6833;5468; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Starlix (nateglinide) is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
DB00734;Risperidone;dementia;0;0;0,887097;1814;151;150;152;1812;1813;148;1815;147;3356;3350;3352;3269;3358; ; ; ; ; ; ; ; ; ; ; ;Risperidone tablets are atypical antipsychotic indicated for: Treatment of schizophrenia (1.1) As monotherapy or adjunctive therapy with lithium or valproate, for the treatment of acute manic or mixed episodes associated with Bipolar I Disorder (1.2) Treatment of irritability associated with autistic disorder (1.3)
DB00740;Riluzole;amyotrophic lateral sclerosis;0;1;0,714286;23657;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Riluzole is indicated for the treatment of patients with amyotrophic lateral sclerosis (ALS). Riluzole extends survival and/or time to tracheostomy.
DB00741;Hydrocortisone;arthritis;0;0;0,513514;301;2908; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;temporary relief of itching associated with minor skin irritations and rashes due to eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching other uses of this product should be only under the advice and supervision of a doctor
DB00744;Zileuton;asthma;0;1;0,764706;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ZYFLO CR is a leukotriene synthesis inhibitor indicated for the prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older. (1) Do not use ZYFLO CR to treat an acute asthma attack. (1)
DB00749;Etodolac;arthritis;1;1;0,347826;5742;5743;6256; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carefully consider the potential benefits and risks of etodolac extended-release tablets and other treatment options before deciding to use etodolac extended-release tablets. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see ). WARNINGS Etodolac extended-release tablets are indicated: * For relief of signs and symptoms of juvenile arthritis * For relief of the signs and symptoms of rheumatoid arthritis * For relief of the signs and symptoms of osteoarthritis
DB00759;Tetracycline;bacterial infections;0;1;NA;5621; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;First aid to help prevent skin infection in minor cuts, scrapes and burns For external use only. Keep away from children. Do not use in the eyes or apply over large areas of the body. May be harmful if swallowed. In case of deep or puncture wounds, animal bites, or serious burns, consult a physician. Stop use and consult a physician if the condition persists or gets worse. Do not use if allergic to any ingredient listed on this label.
DB00775;Tirofiban;coronary disease;0;1;NA;3690;3674; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;AGGRASTAT is a platelet aggregation inhibitor indicated to reduce the rate of thrombotic cardiovascular events (combined endpoint of death, myocardial infarction, or refractory ischemia/repeat cardiac procedure) in patients with non-ST elevation acute coronary syndrome (NSTE-ACS). (1)
DB00783;Estradiol;breast neoplasms;1;1;NA;2100;2099;8856; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Estradiol tablets are indicated in the: 1. Treatment of moderate to severe vasomotor symptoms associated with the menopause. 2. Treatment of moderate to severe symptoms of vulvar and vaginal atrophy associated with the menopause. When prescribed solely for the treatment of symptoms of vulvar and vaginal atrophy, topical vaginal products should be considered. 3. Treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure. 4. Treatment of breast cancer (for palliation only) in appropriately selected women and men with metastatic disease. 5. Treatment of advanced androgen-dependent carcinoma of the prostate (for palliation only). 6. Prevention of osteoporosis. When prescribing solely for the prevention of postmenopausal osteoporosis, therapy should only be considered for women at significant risk of osteoporosis and for whom non-estrogen medications are not considered to be appropriate (See CLINICAL PHARMACOLOGY, Clinical Studies.) The mainstays for decreasing the risk of postmenopausal osteoporosis are weight bearing exercise, adequate calcium and vitamin D intake, and when indicated, pharmacologic therapy. Postmenopausal women require an average of 1500 mg/day of elemental calcium. Therefore, when not contraindicated, calcium supplementation may be helpful for women with suboptimal dietary intake. Vitamin D supplementation of 400 to 800 IU/day may also be required to ensure adequate daily intake in postmenopausal women.
